symptoms,disease,symptoms_processed
"I have a burning sensation in my throat that comes and goes, and it's worse after I eat. I also have a bitter or sour aftertaste in my mouth sometimes.",Gastroesophageal Reflux Disease,burn sensation throat come go bad eat also bitter sour aftertaste mouth sometimes
I've been feeling really sick. I have a runny nose and a lot of congestion. I've been coughing a lot and I have a lot of chest pain. My fever is really high and I've been feeling really achy.,Common Cold,feel really sick runny nose lot congestion cough lot lot chest pain fever really high feeling really achy
"vomiting,yellowish skin,abdominal pain,swelling of stomach,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach history alcohol consumption fluid overload
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"I have been having to pee a lot more often than usual. Sometimes it hurts when I pee and the pee is bloody and smells bad. I think I have an infection, what do I do?",Urinary Tract Infection,pee lot often usual sometimes hurt pee pee bloody smell bad think infection
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"vomiting,fatigue,anxiety,sweating,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"I have been having back pain, a hacking cough, and weakness in my arms and legs. I also have neck pain and have been dizzy and have trouble balancing.",Cervical Spondylosis,back pain hacking cough weakness arm leg also neck pain dizzy trouble balance
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"I have been having back pain, a cough that won't go away, and weakness in my arms and legs. My neck hurts and I have been dizzy and have trouble keeping my balance.",Cervical Spondylosis,back pain cough go away weakness arm legs neck hurt dizzy trouble keep balance
I have a rash that is itchy and painful. My nails have little dents in them. I also have skin peeling in different parts of my body.,Psoriasis,rash itchy painful nails little dent also skin peel different part body
"joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,joint pain skin peel silver like dust small dent nails inflammatory nail
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos ), belly pain"
"itching,skin rash,burning micturition,spotting  urination",Drug Reaction,itch skin rash burn micturition spot urination
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger stiff neck depression visual disturbance
"I've been feeling really sick. I've lost weight, have a fever, and I'm so tired. My skin is yellow, and my urine is dark. I've also been having stomach pain.",Jaundice,feel really sick lose weight fever tire skin yellow urine dark also stomach pain
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"I have a silvery layer on my skin, especially on my back and arms. It's made up of small scales that peel off easily when I rub them. I also have rashes all over my body.",Psoriasis,silvery layer skin especially back arm make small scale peel easily rub also rashes body
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),pain bowel movement pain anal region bloody stool irritation anus
I have a rash on my face. I have little sores around my nose that are oozing yellow stuff. The sores are really painful.,Impetigo,rash face little sore around nose ooze yellow stuff sore really painful
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,belly pain",Typhoid,chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain
"chills,vomiting,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit sweat headache nausea diarrhoea muscle pain
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"acidity,indigestion,headache,excessive hunger,stiff neck,depression,irritability,visual disturbances",Migraine,acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbance
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),headache weakness one body side alter sensorium
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
My legs have been swollen for a few days. I can see the veins bulging out of my skin. This is not normal for me.,Varicose Veins,leg swollen day see vein bulge skin normal
"pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),pain bowel movement pain anal region bloody stool irritation anus
